X1;X2;X3;X4
21;17.2;30;68.77
14;21.6;23;93.33
10;20.4;18;29.63
23;17.2;20;83.58
45;20.4;47;72.22
36;34.2;66;41.37
21;30.4;42;42.74
25;27.9;39;99.51
30;22.9;40;167.11
45;21;56;223.89
58;27.9;70;167.26
42;29.8;75;134.99
22;39.9;56;218.16
23;39.2;51;2.04
23;34.8;47;198.11
21;36.1;52;240.49
26;29.2;51;91.36
21;36.7;47;190.62
20;31.7;42;111.23
19;24.8;34;18.6
18;20.4;27;21.08
14;26;28;14.38
9;29.2;26;147.16
10;26.7;21;49.04
12;22.9;24;47.97
11;20.4;18;109.97
8;19.8;12;51.63
7;20.4;15;46.79
6;21;11;75.32
8;22.9;7;23.98
7;21;11;25.55
